DBUID,24hr_trip_count_August_2018
35202153002,2214
35202153004,1205
35202153005,1205
35202153006,766
35202153007,2214
35202298002,714
35202298003,714
35202298004,714
35202298005,1433
35202298006,714
35202298007,714
35202299001,1496
35202299002,1399
35202299003,1399
35202299004,1433
35202300001,1399
35202300003,461
35202300004,952
35202301010,1766
35202302001,1229
35202302002,1769
35202302003,1229
35202302004,952
35202302005,952
35202302006,952
35202303001,1769
35202303002,2046
35202303003,1908
35202446001,372
35202446002,598
35202446003,235
35202447002,372
35202447004,372
35202448001,372
35202448002,235
35202155002,2228
35202155003,2228
35202155004,2228
35202156001,764
35202156002,764
35202156003,764
35202156004,1772
35202156005,2214
35202157001,138
35202157002,138
35202449004,1117
35202450001,1117
35202583001,467
35202583003,625
35202583004,467
35202583005,467
35202583006,467
35202584003,625
35202306001,1013
35202306002,1049
35202306003,1134
35202307001,1049
35202307002,426
35202307003,1049
35202307004,1042
35202309001,2006
35202309003,2144
35202309004,2144
35202309007,2293
35202310001,1867
35202310002,1867
35202310003,1867
35202310006,1867
35202310007,1867
35202310008,1867
35202310009,1867
35202586001,271
35202586002,271
35202586003,271
35202586004,271
35202587001,271
35202587002,271
35202587003,825
35202587004,271
35202587005,825
35202587006,271
35202587007,628
35202587008,628
35202588001,523
35202588002,628
35202588003,523
35202588004,523
35202703001,1130
35202703002,1130
35202703004,1130
35202703006,1130
35202451004,1084
35202451006,1084
35202704001,1130
35202704002,33
35202704003,1026
35202704005,573
35202704006,1026
35202705006,1026
35202706001,1026
35202707001,805
35202707002,1026
35202707003,1026
35202707004,1026
35202707005,1026
35202886006,351
35202887001,938
35202887002,351
35202887003,351
35202887004,931
35202888001,938
35202888002,1050
35202888003,1050
35203404004,1268
35203404005,1041
35203404006,649
35203405001,876
35203406003,836
35203406004,213
35203406008,609
35203407004,649
35203408002,1449
35203408003,1236
35203408004,1236
35203408005,1449
35203408006,1449
35203408007,1449
35203408008,1449
35203297002,1017
35203297003,1017
35203298001,118
35203298002,118
35203299001,554
35203299002,554
35203299003,554
35203299004,554
35203531001,2487
35203531002,2486
35203532002,651
35203532004,270
35203532005,270
35203532006,270
35203532007,857
35203532008,857
35203532009,857
35203532010,857
35203532015,857
35203532016,475
35203533001,613
35203533002,205
35203533003,205
35203534001,613
35203534002,613
35203534003,205
35203534004,613
35203535001,395
35203535002,995
35203535003,587
35203536001,613
35203536002,613
35203633003,246
35203633004,246
35203633005,246
35203634001,358
35203634002,554
35203634003,246
35203634004,246
35203539001,205
35203539002,613
35203540001,992
35203540002,584
35203540003,392
35203540004,205
35203541004,205
35203542001,992
35203543001,787
35203543002,992
35203543003,805
35203543004,992
35203543005,992
35203543006,992
35203544001,613
35201702004,905
35201702005,905
35201702006,431
35201702007,431
35201702008,524
35201703001,905
35201703002,905
35201703003,905
35201703004,905
35201703005,600
35201703006,600
35201817003,626
35203628002,391
35203628003,213
35203629001,89
35203629002,964
35203630001,788
35203630002,788
35203630003,610
35203630004,502
35203631001,610
35203631002,788
35203631003,788
35201818001,305
35201818002,305
35201818003,305
35201819001,305
35201819002,305
35201819003,305
35201819004,305
35201820001,0
35201820002,0
35201820003,152
35201820004,152
35201821001,858
35201821003,305
35201704009,447
35201704010,898
35201705001,600
35201705002,600
35201705003,600
35201705004,600
35201705005,600
35201938003,460
35201938004,452
35201938005,713
35201939003,725
35201939004,725
35201939005,725
35201939006,69
35201939008,69
35201939012,1413
35201939013,69
35201822001,1005
35201823001,700
35201823002,890
35201824001,890
35201824002,890
35201824003,890
35201824004,890
35202050001,869
35202050002,598
35202051001,528
35202055001,877
35202056001,869
35202056002,869
35202056003,869
35202057001,90
35202057002,564
35202057003,90
35202154001,2228
35202155001,2228
35202157009,2228
35202157011,2228
35202157017,2228
35202157020,138
35202157021,2228
35202157022,2228
35202157023,2228
35202157024,165
35202304002,1090
35202304004,1108
35202305001,426
35202305002,998
35202305003,426
35202305004,426
35202305005,1853
35202058001,726
35202058002,388
35202058003,877
35202058012,42
35202059001,880
35202311002,1867
35202311003,1148
35202316002,952
35202316003,1979
35202321001,1090
35202321002,1214
35202321003,1202
35202321004,1202
35202450002,598
35202451002,696
35202451003,696
35202157026,138
35202158001,138
35202158003,138
35202158004,138
35202159004,1271
35202159006,1038
35202159012,228
35202159013,992
35202159015,2228
35202159016,334
35202159017,334
35202451007,235
35202452001,339
35202452002,339
35202453002,1319
35202453003,1319
35202453004,339
35202453005,339
35202588005,523
35202589002,636
35202589003,632
35202589004,523
35202589006,632
35202590001,271
35202590002,267
35202323002,1083
35202323003,1195
35202323004,1272
35202590003,632
35202591001,476
35202592001,912
35202592003,166
35202592005,554
35202593001,615
35202707006,1026
35202707007,1026
35202712001,625
35202712002,731
35203300001,1017
35203300002,554
35203300003,554
35203301001,495
35203301002,554
35203301003,554
35203301004,554
35203314004,899
35203408010,1449
35203408011,1449
35203408013,1236
35203408014,1449
35203408015,844
35203314005,899
35203315002,393
35203315003,731
35203315004,899
35203409001,213
35203409002,213
35203410001,213
35203410002,213
35203410003,621
35203411001,155
35203412001,155
35203412002,155
35203412003,155
35203413001,155
35203413002,155
35203536003,613
35203537001,1236
35203537002,787
35203537003,992
35203537004,992
35203538001,613
35203538002,392
35203544002,1180
35203544003,613
35203544004,888
35203544005,613
35203627002,391
35203627003,608
35203627004,391
35203628001,996
35203544008,805
35203545001,805
35203545002,397
35203545003,584
35203545004,584
35203546001,205
35203546002,613
35203546003,613
35203546004,613
35203547001,656
35203547002,656
35203547003,613
35203548001,662
35203548002,662
35203552001,865
35201703007,600
35201704001,381
35201704002,599
35201704004,126
35201704006,600
35201704007,600
35201609004,427
35201610001,179
35201611001,179
35201611002,179
35201611003,179
35201611004,179
35201611005,179
35201612001,179
35201612002,179
35201612003,179
35201612004,179
35201613001,179
35201614001,179
35201705006,600
35201706001,474
35201706002,600
35201706003,600
35201706004,600
35201706005,600
35201706006,600
35201706007,600
35201707001,279
35201707002,279
35201821004,305
35201821005,1296
35201821007,1296
35201821008,0
35201707005,600
35201708001,474
35201708002,153
35201708003,153
35201708004,153
35201708005,600
35201824005,890
35201825001,627
35201825002,700
35201825003,890
35201825004,890
35201826001,890
35201827001,596
35201827002,596
35201939014,69
35201827003,596
35201827004,596
35201828001,596
35201828002,596
35201828003,596
35201828004,948
35201829001,948
35201829002,780
35201939015,69
35201939016,826
